id,source,game,language,sourceSetId,setCode,name,matchRule,confidence,provider,providerSetId,providerName,score,logoImageUrl,symbolImageUrl,currentLogoImageUrl,currentSymbolImageUrl,currentBannerImageUrl
cmprbv11m0g3ztm8g48ga8zya,tcgtracking,POKEMON,en,3064,PGO,Pokemon GO,exact_normalized_name,high,tcgdex:en,swsh10.5,Pokémon GO,1,https://assets.tcgdex.net/en/swsh/swsh10.5/logo.png,https://assets.tcgdex.net/univ/swsh/swsh10.5/symbol.png,https://archives.bulbagarden.net/media/upload/3/3d/Pokemon_Go_Logo.png,https://images.pokemontcg.io/pgo/symbol.png,
cmprc628c03k3tmasoz07eqyh,tcgtracking,POKEMON,en,2594,HIF:SV,Hidden Fates: Shiny Vault,exact_normalized_name,high,tcgdex:en,sma,Hidden Fates Shiny Vault,1,,https://assets.tcgdex.net/univ/sm/sma/symbol.png,https://archives.bulbagarden.net/media/upload/thumb/d/d6/Hidden_Fates_Logo_EN.png/800px-Hidden_Fates_Logo_EN.png,https://tcgtracking.com/scan/set-symbol.php?game=3&set=HIF%3ASV,
cmprcxrel03f1tmxwmom8323l,tcgtracking,POKEMON,en,1433,RUM,Rumble,exact_normalized_name,high,tcgdex:en,ru1,Pokémon Rumble,1,https://assets.tcgdex.net/en/pl/ru1/logo.png,https://assets.tcgdex.net/univ/pl/ru1/symbol.png,https://archives.bulbagarden.net/media/upload/thumb/0/07/Pok%C3%A9mon_Rumble_logo.png/800px-Pok%C3%A9mon_Rumble_logo.png,https://images.pokemontcg.io/ru1/symbol.png,
